Credit_card,Label
379475120338634,Needs Remediation
344066675245878,Needs Remediation
373505714729768,Needs Remediation
376582856800761,Needs Remediation
348898329695769,Needs Remediation
30386898252116,Needs Remediation
30962934777363,Needs Remediation
30319991594282,Needs Remediation
36706261997027,Needs Remediation
30477147831329,Needs Remediation
6011483807222973,Needs Remediation
6011857035833414,Needs Remediation
6011458566941922,Needs Remediation
6011253978587912,Needs Remediation
6011453374784663,Needs Remediation
3585366441559723,Needs Remediation
3533565309041319,Needs Remediation
3535164300823806,Needs Remediation
3581589030390259,Needs Remediation
3580578706829329,Needs Remediation
5214349181936578,Needs Remediation
5359739685019597,Needs Remediation
5552484134767109,Needs Remediation
5543274011483686,Needs Remediation
5554207712917327,Needs Remediation
4113527295102857,Needs Remediation
4451865299641482,Needs Remediation
4614012963968396,Needs Remediation
4917124939309144,Needs Remediation
4618607134282563,Needs Remediation
348243304386185,Needs Remediation
344881329797169,Needs Remediation
371377130094942,Needs Remediation
348444785948283,Needs Remediation
378097831924436,Needs Remediation
30169724254641,Needs Remediation
30553063446886,Needs Remediation
38283564158614,Needs Remediation
30126715911241,Needs Remediation
30018619177369,Needs Remediation
6011192235369161,Needs Remediation
6011135441176623,Needs Remediation
6011915336941003,Needs Remediation
6011827163386857,Needs Remediation
6011336874439450,Needs Remediation
3569941379867478,Needs Remediation
3584384224338240,Needs Remediation
3536213733322008,Needs Remediation
3535912889986919,Needs Remediation
3548558295471882,Needs Remediation
5277604622304958,Needs Remediation
5420446915522110,Needs Remediation
5388293829923616,Needs Remediation
5333707713949094,Needs Remediation
5143067730634660,Needs Remediation
4558435380018222,Needs Remediation
4737444965153283,Needs Remediation
4700138213042990,Needs Remediation
4980626028925665,Needs Remediation
4898902654023161,Needs Remediation
349230404012919,Needs Remediation
373047447972043,Needs Remediation
372435286103278,Needs Remediation
375351827340799,Needs Remediation
343062586348035,Needs Remediation
30374576023090,Needs Remediation
39930554007750,Needs Remediation
38102422009175,Needs Remediation
30282891377226,Needs Remediation
30370320467948,Needs Remediation
6011829910900600,Needs Remediation
6011224230961278,Needs Remediation
6011288308784656,Needs Remediation
6011149516997466,Needs Remediation
6011754644525681,Needs Remediation
3556226459192350,Needs Remediation
3585619293227017,Needs Remediation
3575536367231810,Needs Remediation
3530912178169164,Needs Remediation
3532476402126729,Needs Remediation
5312146046672476,Needs Remediation
5410899400314215,Needs Remediation
5429357147662353,Needs Remediation
5113314929237814,Needs Remediation
5290732273876264,Needs Remediation
4226452129435395,Needs Remediation
4564284202368635,Needs Remediation
4286211477192959,Needs Remediation
4428325457773999,Needs Remediation
4918878658956778,Needs Remediation
347570117769541,Needs Remediation
344867386138256,Needs Remediation
374674468010673,Needs Remediation
379068811966662,Needs Remediation
345668323335933,Needs Remediation
30499712831096,Needs Remediation
39142729858519,Needs Remediation
30413079819156,Needs Remediation
36415671563920,Needs Remediation
30381236595615,Needs Remediation
6011791198486274,Needs Remediation
6011191794406471,Needs Remediation
6011212805417321,Needs Remediation
6011518453120516,Needs Remediation
6011529112202090,Needs Remediation
3563268071042523,Needs Remediation
3537664604418599,Needs Remediation
3579969136508018,Needs Remediation
3585599393059959,Needs Remediation
3568955791890729,Needs Remediation
5538787208181570,Needs Remediation
5452459751805169,Needs Remediation
5499421068376396,Needs Remediation
5255763235896994,Needs Remediation
5138777828076304,Needs Remediation
4569774734324358,Needs Remediation
4786574764487688,Needs Remediation
4521508281156707,Needs Remediation
4297305087102528,Needs Remediation
4523732359930870,Needs Remediation
379038331653959,Needs Remediation
341643434635368,Needs Remediation
30143643210653,Needs Remediation
30954699611499,Needs Remediation
6011203086471764,Needs Remediation
6011518803656367,Needs Remediation
5284838925948225,Needs Remediation
5389878943985910,Needs Remediation
4158528805010727,Needs Remediation
4226382697900183,Needs Remediation
..-5533344444444332++++++++...........4...,False Positive
.....-2+++++++++65443444443344...........44444444242424242642432432432432432432432432,False Positive
..9-432232433333323222+222+...............................222222222222323232323232432,False Positive
5555555544343222++,False Positive
.++++++++++++++---24334434............6..............................4434343434343432,False Positive
4439299999999999999999999999.........................................................,False Positive
5555555443333332222++++,False Positive
............9999999999999665555554444............................44444444242424242432,False Positive
5555555443333332222++++,False Positive
..............-5555432555543332++++,False Positive
.+++++++++++++++++24334434............5..............................4434343434343432,False Positive
444444449999999999999999999999999444444444444444..,False Positive
5555555443333332222++++,False Positive
2++++++++++++++--5554323333333222++++----,False Positive
.................................++++++++++32++2+++++2++343334443333322++2++2+++++...,False Positive
…..........-378189552684594+++++++++,False Positive
++++++++++++++++++++++374012505043656++++,False Positive
….................+++++++379600140159815.........,False Positive
…...............44392999999999999999999,False Positive
….........-2+++++++++++++++4567865678............3774741067597584567,False Positive
…..........................30598875284207…....................................444444444444444444444444445454,False Positive
30364792450938+++++++,False Positive
30515027043109+++++++,False Positive
30211283524608++++++,False Positive
30331991412837++++++,False Positive
...............................601190486991342044444444444444…...4444444444,False Positive
…................6011212656596740…................44444444444445555444,False Positive
…...................................6011221364100940.......................444444444444424244,False Positive
…...................6011646438507320…..........444545324,False Positive
SLDTO 5178057224728464,False Positive
abc 345754606755441,False Positive
abcc345640183137550,False Positive
kdk 344104266744536,False Positive
347756292376331dfs,False Positive
349560857506714can,False Positive
30584313564095ran,False Positive
30577449398131 run,False Positive
PO 30424256100666,False Positive
BOX 30080393511080,False Positive
PO 36765891902716 west,False Positive
NORTH 6011297990972974,False Positive
TEXA 6011214700816045,False Positive
RA 6011701986104450 cd,False Positive
ABC 6011202775300433,False Positive
RAM 6011137420597043,False Positive
3536657302985191 AA,False Positive
text 3568156202523195,False Positive
3538471007758228some,False Positive
text3551801746795812,False Positive
between 3571564911578555,False Positive
5356332114151794 dd,False Positive
aa5352361188339658dd,False Positive
dd 5318263557107844ddd,False Positive
dd5221889258950342ddkjdf,False Positive
some texc  5248487563810647,False Positive
number after 4555962848401073 text,False Positive
no num 4597153169643861,False Positive
4496098850944460 just,False Positive
4646605485147142 text,False Positive
X4111111111111111XX5554111,False Positive
XXXXX38600441111111111XXXXX545111,False Positive
1111X543211115111111111111111111X11111111111,False Positive
1XX41111111111111111,False Positive
XXXXXX1XXX1XXX1XXXXXXXX4111111111111111111555555,False Positive
XXXXXX1XXX1XXX1XXXXXXXXXX41111111111111111115555,False Positive
38600442302868XXXXXXXXXXX,False Positive
1111XXXXXX30940328792248XXXXXXX,False Positive
X3034111111111111XXXX45456111,False Positive
1XX30378356389811XXXXX,False Positive
11111111XXXXXXX36228033791091X1111111,False Positive
XXXXXX411111111111111111XXX55541,False Positive
1XX41111111111111111111111,False Positive
1XX411111111111111111111111111,False Positive
XXXXX38600441111111111XXXXX545115,False Positive
XXXXX38600441111111111XXXXX545113,False Positive
XXXXXX1XXX1XXXXX1XXXXXXXX4111111111111111111555555,False Positive
XXXXX38600441111111111XXXXX5455111,False Positive
XXXXX38600441111111111XXXXX545511111,False Positive
X4111111111111111XX55541111111,False Positive
0.0348909140832331,False Positive
0.0344399590139474,False Positive
0.0379802599169424,False Positive
0.0343578650322010,False Positive
0.0372687180766119,False Positive
0.036696079406057,False Positive
0.030279424808016,False Positive
0.030024086340407,False Positive
0.038903543758156,False Positive
0.030150746516399,False Positive
0.06011305830983554,False Positive
0.06011426756134475,False Positive
0.06011615477124910,False Positive
0.06011486895935224,False Positive
0.06011267349761113,False Positive
0.03548206207114832,False Positive
0.03571771970081260,False Positive
0.03553781078122330,False Positive
0.03534441298784377,False Positive
0.03581632076662114,False Positive
0.05424886373857977,False Positive
0.05241067890020479,False Positive
0.05286298892228192,False Positive
0.05562276251951062,False Positive
0.05445577782499932,False Positive
0.04378435072398427,False Positive
0.04240125128779888,False Positive
0.04967149264337997,False Positive
0.04560729538954007,False Positive
0.04258567481201878,False Positive
12668348303372660414,False Positive
5566347093451796749,False Positive
76666378881134900965,False Positive
6755346425902632761,False Positive
875578346967377512481,False Positive
5656530536999679027,False Positive
565638423417330651,False Positive
565630367411591818,False Positive
5655530218676676952,False Positive
565339131778066595,False Positive
54656011548016514988,False Positive
6766011264421728821,False Positive
68756011998153183362,False Positive
67866011737497319088,False Positive
97566011367960724612,False Positive
56353548576245934841,False Positive
565543538498364098195,False Positive
57653582982261497894,False Positive
3543587528614211340,False Positive
3563299037310076287,False Positive
5250636758636762974,False Positive
5472651474742952456435,False Positive
